epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.4615,0.5253,2.15034,0.90654,0.68612,0.50308,0.59464,0.54218,0.44944,2.26465,0.83069,0.000410448,0.000410448,0.000410448
2,121.707,0.51298,1.34775,0.88531,0.68005,0.87341,0.7082,0.63624,0.46947,1.39509,0.83659,0.000786172,0.000786172,0.000786172
3,178.055,0.50512,1.20862,0.88511,0.69892,0.84894,0.81194,0.73,0.45511,1.31337,0.85766,0.00112065,0.00112065,0.00112065
4,237.471,0.49135,1.06583,0.88255,0.84321,0.89274,0.91478,0.84437,0.42972,0.74496,0.83582,0.00106437,0.00106437,0.00106437
5,295.748,0.47956,0.99265,0.87919,0.8163,0.91422,0.92214,0.83252,0.48765,0.79121,0.85114,0.0010025,0.0010025,0.0010025
6,354.022,0.46767,0.9251,0.87055,0.81168,0.9058,0.88474,0.83198,0.39643,0.69763,0.81922,0.000940625,0.000940625,0.000940625
7,412.416,0.45323,0.81479,0.87409,0.84166,0.93617,0.94817,0.87941,0.39847,0.61277,0.8272,0.00087875,0.00087875,0.00087875
8,472.639,0.43978,0.76311,0.86456,0.93682,0.96311,0.97528,0.91198,0.38649,0.48495,0.81473,0.000816875,0.000816875,0.000816875
9,530.926,0.43502,0.71569,0.86557,0.8943,0.8985,0.96014,0.90696,0.37213,0.54274,0.81573,0.000755,0.000755,0.000755
10,591.973,0.41739,0.67228,0.85914,0.91901,0.95543,0.97737,0.93307,0.35538,0.45017,0.81105,0.000693125,0.000693125,0.000693125
11,653.304,0.36405,0.60847,0.81919,0.88217,0.89806,0.95348,0.90682,0.36002,0.57829,0.81423,0.00063125,0.00063125,0.00063125
12,713.938,0.36677,0.57868,0.82194,0.93628,0.93859,0.95758,0.90154,0.38961,0.49071,0.82842,0.000569375,0.000569375,0.000569375
13,770.677,0.35992,0.53139,0.81522,0.95447,0.97189,0.98563,0.94207,0.3402,0.36724,0.80985,0.0005075,0.0005075,0.0005075
14,827.294,0.33509,0.47907,0.80484,0.91307,0.92941,0.98216,0.93955,0.34529,0.48512,0.80826,0.000445625,0.000445625,0.000445625
15,882.921,0.33764,0.43891,0.81379,0.94121,0.93684,0.98452,0.94584,0.33518,0.3853,0.80789,0.00038375,0.00038375,0.00038375
16,938.039,0.32368,0.4062,0.81079,0.99281,0.98184,0.99409,0.95863,0.31725,0.27247,0.80714,0.000321875,0.000321875,0.000321875
17,995.243,0.32017,0.38439,0.80277,0.98811,0.98578,0.99422,0.96312,0.31839,0.28006,0.8036,0.00026,0.00026,0.00026
18,1053.22,0.3153,0.35692,0.80886,0.9734,0.98698,0.99427,0.96516,0.31495,0.2643,0.80374,0.000198125,0.000198125,0.000198125
19,1110.1,0.29802,0.34048,0.79966,0.98845,0.98073,0.99394,0.96508,0.30648,0.2557,0.80276,0.00013625,0.00013625,0.00013625
20,1167.4,0.29387,0.32697,0.80701,0.99028,0.9857,0.99476,0.96678,0.30182,0.24029,0.8008,7.4375e-05,7.4375e-05,7.4375e-05
