epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.9485,0.51322,2.18859,0.90466,0.7733,0.40091,0.69227,0.61896,0.42603,2.27052,0.82081,0.000410448,0.000410448,0.000410448
2,120.569,0.51359,1.32759,0.88103,0.56209,0.80556,0.69331,0.62406,0.44739,1.73733,0.83504,0.000786172,0.000786172,0.000786172
3,177.371,0.49571,1.20569,0.87576,0.73014,0.82124,0.82527,0.71754,0.50688,1.16629,0.83914,0.00112065,0.00112065,0.00112065
4,233.854,0.48284,1.05847,0.87244,0.756,0.85312,0.86191,0.78791,0.43119,1.21248,0.82943,0.00106437,0.00106437,0.00106437
5,293.503,0.46688,0.95888,0.87455,0.76108,0.84133,0.8577,0.7861,0.42171,0.87382,0.82724,0.0010025,0.0010025,0.0010025
6,351.071,0.47142,0.89589,0.87547,0.628,0.86152,0.84855,0.79186,0.37722,0.93422,0.81576,0.000940625,0.000940625,0.000940625
7,407.529,0.44495,0.81606,0.8675,0.89786,0.92446,0.94174,0.8835,0.36767,0.63798,0.81026,0.00087875,0.00087875,0.00087875
8,465.696,0.42286,0.76584,0.86624,0.87743,0.90616,0.9452,0.88898,0.37239,0.58249,0.81082,0.000816875,0.000816875,0.000816875
9,522.652,0.42116,0.72159,0.8628,0.91063,0.92237,0.958,0.90193,0.35624,0.56955,0.80349,0.000755,0.000755,0.000755
10,581.668,0.42494,0.64396,0.86246,0.85229,0.92184,0.95952,0.89569,0.35914,0.59605,0.8135,0.000693125,0.000693125,0.000693125
11,638.958,0.35482,0.6133,0.81473,0.92234,0.93469,0.97316,0.9269,0.34329,0.46599,0.80187,0.00063125,0.00063125,0.00063125
12,694.25,0.3613,0.57945,0.81474,0.92317,0.97025,0.98171,0.93249,0.35197,0.42467,0.80425,0.000569375,0.000569375,0.000569375
13,750.435,0.34241,0.54225,0.81382,0.94219,0.93091,0.97253,0.92657,0.3338,0.48458,0.80211,0.0005075,0.0005075,0.0005075
14,805.86,0.33457,0.5169,0.81208,0.88948,0.91573,0.96921,0.92343,0.32792,0.62492,0.79465,0.000445625,0.000445625,0.000445625
15,862.056,0.32997,0.45114,0.80581,0.93522,0.94221,0.98154,0.93475,0.31819,0.39348,0.79778,0.00038375,0.00038375,0.00038375
16,919.097,0.3228,0.43155,0.80395,0.95127,0.96158,0.98603,0.94459,0.31612,0.35082,0.79516,0.000321875,0.000321875,0.000321875
17,978.605,0.31219,0.40258,0.80738,0.94935,0.97787,0.98977,0.9542,0.30226,0.33691,0.79336,0.00026,0.00026,0.00026
18,1035.65,0.30729,0.37169,0.80412,0.98064,0.9783,0.99113,0.96215,0.29264,0.3166,0.7886,0.000198125,0.000198125,0.000198125
19,1094.38,0.30371,0.34695,0.8036,0.96053,0.97789,0.98963,0.9584,0.28683,0.33085,0.78967,0.00013625,0.00013625,0.00013625
20,1149.56,0.28964,0.31765,0.80225,0.97528,0.9813,0.99169,0.96172,0.28547,0.29183,0.7892,7.4375e-05,7.4375e-05,7.4375e-05
