epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.5138,0.5067,2.16625,0.89492,0.61809,0.57314,0.68249,0.6078,0.47383,2.22966,0.82361,0.000410448,0.000410448,0.000410448
2,137.013,0.5121,1.36205,0.88761,0.54314,0.75452,0.54139,0.48393,0.48307,1.43138,0.83427,0.000786172,0.000786172,0.000786172
3,192.78,0.4983,1.22121,0.88461,0.62949,0.845,0.76699,0.67425,0.48497,1.34545,0.83539,0.00112065,0.00112065,0.00112065
4,248.02,0.48285,1.1359,0.88108,0.69494,0.7551,0.74397,0.65179,0.48278,1.20509,0.85786,0.00106437,0.00106437,0.00106437
5,305.501,0.46055,0.97245,0.86957,0.76951,0.92997,0.8696,0.79799,0.40493,0.75073,0.80875,0.0010025,0.0010025,0.0010025
6,362.096,0.4641,0.91206,0.87488,0.71462,0.85549,0.87899,0.81033,0.41595,1.01392,0.83267,0.000940625,0.000940625,0.000940625
7,419.373,0.43668,0.80653,0.86695,0.82558,0.85829,0.9011,0.83761,0.38948,0.67401,0.81406,0.00087875,0.00087875,0.00087875
8,479.934,0.42374,0.74574,0.86362,0.91813,0.94547,0.96777,0.89639,0.39437,0.49764,0.81374,0.000816875,0.000816875,0.000816875
9,541.307,0.41606,0.69037,0.85903,0.90371,0.94701,0.96627,0.90919,0.36871,0.47112,0.80533,0.000755,0.000755,0.000755
10,602.314,0.41032,0.67826,0.8589,0.85753,0.90713,0.93839,0.88245,0.36264,0.54587,0.81223,0.000693125,0.000693125,0.000693125
11,664.554,0.3471,0.59817,0.81511,0.85844,0.89722,0.95549,0.89617,0.37818,0.61281,0.8163,0.00063125,0.00063125,0.00063125
12,720.614,0.35798,0.54246,0.82252,0.90533,0.89536,0.96566,0.90606,0.38178,0.52217,0.81807,0.000569375,0.000569375,0.000569375
13,775.674,0.34944,0.51772,0.8159,0.95734,0.91455,0.9761,0.92332,0.35844,0.40666,0.80964,0.0005075,0.0005075,0.0005075
14,831.785,0.33242,0.47364,0.80998,0.92618,0.93492,0.97745,0.91698,0.36851,0.4226,0.8086,0.000445625,0.000445625,0.000445625
15,889.64,0.33074,0.41623,0.8057,0.95905,0.95613,0.97424,0.92479,0.34081,0.38324,0.80365,0.00038375,0.00038375,0.00038375
16,947.628,0.31701,0.4252,0.80455,0.93587,0.93319,0.97992,0.93614,0.33444,0.41728,0.79986,0.000321875,0.000321875,0.000321875
17,1003.36,0.30813,0.37136,0.79919,0.9503,0.96366,0.98373,0.93913,0.32877,0.32251,0.79943,0.00026,0.00026,0.00026
18,1059.14,0.30335,0.35842,0.80238,0.96381,0.95835,0.99003,0.946,0.32121,0.31754,0.79902,0.000198125,0.000198125,0.000198125
19,1114.91,0.29241,0.33748,0.79562,0.97518,0.9738,0.98635,0.9457,0.31353,0.28439,0.79819,0.00013625,0.00013625,0.00013625
20,1171.87,0.28484,0.31213,0.79938,0.97185,0.97944,0.98955,0.94868,0.30749,0.26298,0.79541,7.4375e-05,7.4375e-05,7.4375e-05
