epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.038,0.51981,2.25612,0.91249,0.72693,0.12588,0.51149,0.45382,0.45924,2.49465,0.82859,0.000410448,0.000410448,0.000410448
2,119.365,0.5103,1.37161,0.89161,0.59525,0.71085,0.65517,0.58334,0.45538,1.49097,0.82789,0.000786172,0.000786172,0.000786172
3,176.711,0.49523,1.18336,0.88095,0.57378,0.87536,0.76108,0.67721,0.46293,1.59413,0.83542,0.00112065,0.00112065,0.00112065
4,234.39,0.46738,1.05647,0.86865,0.69615,0.83841,0.81828,0.74665,0.41702,1.00798,0.81803,0.00106437,0.00106437,0.00106437
5,294.172,0.45544,0.97991,0.8727,0.80153,0.89212,0.91197,0.84354,0.39945,0.79143,0.81716,0.0010025,0.0010025,0.0010025
6,353.324,0.46323,0.92199,0.8765,0.73897,0.88156,0.89246,0.81801,0.40493,0.89478,0.82058,0.000940625,0.000940625,0.000940625
7,410.602,0.44216,0.86544,0.87133,0.72341,0.92195,0.866,0.79548,0.39111,0.90439,0.81155,0.00087875,0.00087875,0.00087875
8,470.396,0.44058,0.81994,0.86792,0.71711,0.92341,0.90098,0.81934,0.42599,0.78823,0.82061,0.000816875,0.000816875,0.000816875
9,528.437,0.43357,0.74875,0.8627,0.88375,0.90418,0.95499,0.88958,0.38121,0.51358,0.8132,0.000755,0.000755,0.000755
10,587.617,0.42028,0.68311,0.86866,0.83494,0.89612,0.92059,0.85844,0.36733,0.72315,0.80955,0.000693125,0.000693125,0.000693125
11,644.927,0.35775,0.62683,0.81804,0.90109,0.90374,0.93814,0.88729,0.3552,0.55512,0.80865,0.00063125,0.00063125,0.00063125
12,700.868,0.34144,0.59876,0.80907,0.85482,0.93237,0.94511,0.89343,0.36439,0.53354,0.80777,0.000569375,0.000569375,0.000569375
13,756.787,0.33968,0.52759,0.81343,0.87448,0.95943,0.97386,0.92273,0.36137,0.47729,0.81017,0.0005075,0.0005075,0.0005075
14,814.136,0.33337,0.51077,0.81509,0.90011,0.94416,0.96811,0.91181,0.36127,0.49002,0.81385,0.000445625,0.000445625,0.000445625
15,870.971,0.32903,0.47256,0.80819,0.94902,0.96193,0.98356,0.93807,0.33374,0.35411,0.80182,0.00038375,0.00038375,0.00038375
16,929.018,0.31889,0.44248,0.80427,0.93943,0.95619,0.98038,0.93745,0.33952,0.37261,0.80501,0.000321875,0.000321875,0.000321875
17,985.474,0.30271,0.4096,0.79879,0.9441,0.95164,0.97843,0.93942,0.33079,0.3621,0.80271,0.00026,0.00026,0.00026
18,1042.37,0.30261,0.37887,0.80364,0.95943,0.95813,0.98628,0.94439,0.32411,0.32377,0.8015,0.000198125,0.000198125,0.000198125
19,1099.6,0.29707,0.36412,0.80277,0.9652,0.97878,0.98798,0.94765,0.32255,0.30523,0.79956,0.00013625,0.00013625,0.00013625
20,1157.38,0.28799,0.3436,0.79487,0.96502,0.97904,0.98954,0.95291,0.31568,0.29005,0.79744,7.4375e-05,7.4375e-05,7.4375e-05
